id;name;description;created_at;updated_at;parent_id;full_name;organization_kind_id;codename
286;"ПАО ""Транснефть""";;2020-01-10 12:47:58.722836;2020-01-10 12:47:58.722836;;;; CODENAME
287;"АО ""Транснефть Терминал"" Новороссийск";;2020-01-10 12:47:58.758291;2020-01-10 12:47:58.758291;286;;5;ТерминалНоворос
288;"АО ""Транснефть - Верхняя Волга""";;2020-01-10 12:47:58.798366;2020-01-10 12:47:58.798366;286;;5;ВерхняяВолга
289;"ООО ""ЦУП ВСТО""";;2020-01-10 12:47:58.874622;2020-01-10 12:47:58.874622;286;;5;ЦУПВСТО
290;"ООО ""Завод Керамических Материалов""";;2020-01-10 12:47:58.900918;2020-01-10 12:47:58.900918;286;;5;ЗаводКерамическ
4;Организация 1;"";2019-08-08 05:53:05.160101;2019-08-29 12:22:11.895443;;"";;О1
5;Организация 2;"";2019-08-13 09:02:53.817812;2019-08-29 12:26:53.020048;;"";;О2
1;Общедоступные организации;"";2019-08-05 09:30:13.497668;2019-08-29 12:51:46.606593;;"";;ОД
291;"ООО ""Транснефть - Дальний Восток""";;2020-01-10 12:47:58.918133;2020-01-10 12:47:58.918133;286;;5;ДальнийВосток
292;"АО ""Транснефть-Центральная Сибирь""";;2020-01-10 12:47:58.966952;2020-01-10 12:47:58.966952;286;;5;ЦентральнаяСиби
293;"АО ""ТОМЗЭЛ""";;2020-01-10 12:47:59.028203;2020-01-10 12:47:59.028203;286;;5;ТОМЗЭЛ
294;"ООО ""Транснефть - Технологии""";;2020-01-10 12:47:59.053962;2020-01-10 12:47:59.053962;286;;5;Технологии
295;"ООО ""Транснефть - Порт Приморск""";;2020-01-10 12:47:59.091888;2020-01-10 12:47:59.091888;286;;5;ПортПриморск
296;"АО ""Транснефть-Урал""";;2020-01-10 12:47:59.135572;2020-01-10 12:47:59.135572;286;;5;Урал
297;"АО ""Гипротрубопровод""";;2020-01-10 12:47:59.225919;2020-01-10 12:47:59.225919;286;;5;Гипротрубопрово
298;Филиал  «Казаньгипротрубопровод» (г. Казань);;2020-01-10 12:47:59.371968;2020-01-10 12:47:59.371968;286;;5;ФилиалКазаньгип
299;Филиал  «Омскгипротрубопровод» (г. Омск);;2020-01-10 12:47:59.389225;2020-01-10 12:47:59.389225;286;;5;ФилиалОмскгипро
300;"ООО ""Транснефть - ЭлектросетьСервис""";;2020-01-10 12:47:59.417742;2020-01-10 12:47:59.417742;286;;5;ЭлектросетьСерв
301;"АО ""НПФ ""Транснефть""";;2020-01-10 12:47:59.445895;2020-01-10 12:47:59.445895;286;;5;НПФ
302;"АО ""Транснефть - Западная Сибирь""";;2020-01-10 12:47:59.499545;2020-01-10 12:47:59.499545;286;;5;ЗападнаяСибирь
303;"ООО ""Транснефть-Охрана""";;2020-01-10 12:47:59.657338;2020-01-10 12:47:59.657338;286;;5;Охрана
304;"ООО ""Транснефть-ТСД""";;2020-01-10 12:47:59.709777;2020-01-10 12:47:59.709777;286;;5;ТСД
305;"АО ""Русские электрические двигатели""";;2020-01-10 12:47:59.845535;2020-01-10 12:47:59.845535;286;;5;Русскиеэлектрич
306;"АО ""Транснефть - Дружба""";;2020-01-10 12:47:59.89215;2020-01-10 12:47:59.89215;286;;5;Дружба
307;ООО «Транснефть-Восток»;;2020-01-10 12:48:00.338951;2020-01-10 12:48:00.338951;286;;5;Восток
308;"АО ""Транснефть-Сибирь""";;2020-01-10 12:48:00.483778;2020-01-10 12:48:00.483778;286;;5;Сибирь
309;"Сторонние организации - владельцы IP-адресов АО ""Связьтранснефть""";;2020-01-10 12:48:00.950182;2020-01-10 12:48:00.950182;286;;5;Сторонниеоргани
310;"АО ""Транснефть - Энерготерминал""";;2020-01-10 12:48:01.255641;2020-01-10 12:48:01.255641;286;;5;Энерготерминал
311;"АО ""Транснефть - Диаскан""";;2020-01-10 12:48:01.288185;2020-01-10 12:48:01.288185;286;;5;Диаскан
312;"ООО ""Транснефть - Порт Козьмино""";;2020-01-10 12:48:01.442649;2020-01-10 12:48:01.442649;286;;5;ПортКозьмино
313;"ООО ""Транснефть-Балтика""";;2020-01-10 12:48:01.49035;2020-01-10 12:48:01.49035;286;;5;Балтика
314;"АО ""Связьтранснефть""";;2020-01-10 12:48:01.525428;2020-01-10 12:48:01.525428;286;;5;Связьтранснефть
315;"АО ""Средне-Волжский Транснефтепродукт""";;2020-01-10 12:48:01.559651;2020-01-10 12:48:01.559651;286;;5;СреднеВолжскийТ
316;"АО ""Транснефть - Прикамье""";;2020-01-10 12:48:01.597614;2020-01-10 12:48:01.597614;286;;5;Прикамье
317;"ООО ""НИИ Транснефть""";;2020-01-10 12:48:01.650743;2020-01-10 12:48:01.650743;286;;5;НИИ
318;"АО ""Транснефтепродукт""";;2020-01-10 12:48:01.668598;2020-01-10 12:48:01.668598;286;;5;Транснефтепроду
319;"АО ""Транснефть-Подводсервис""";;2020-01-10 12:48:01.867529;2020-01-10 12:48:01.867529;286;;5;Подводсервис
320;АО «Транснефть - Метрология»;;2020-01-10 12:48:02.692306;2020-01-10 12:48:02.692306;286;;5;Метрология
321;"АО ""Транснефть - Приволга""";;2020-01-10 12:48:02.752369;2020-01-10 12:48:02.752369;286;;5;Приволга
322;"ООО ""Транснефть - Сервис""";;2020-01-10 12:48:03.142404;2020-01-10 12:48:03.142404;286;;5;Сервис
323;"АО ""Черномортранснефть""";;2020-01-10 12:48:03.206255;2020-01-10 12:48:03.206255;286;;5;Черномортрансне
324;"ООО ""Транснефть Надзор""";;2020-01-10 12:48:03.353735;2020-01-10 12:48:03.353735;286;;5;Надзор
325;АО «Транснефть - Север»;;2020-01-10 12:48:03.677912;2020-01-10 12:48:03.677912;286;;5;Север
326;"ООО ""Тихорецк-Нафта""";;2020-01-10 12:48:03.762226;2020-01-10 12:48:03.762226;286;;5;ТихорецкНафта
327;"ООО УК ""ТН Инвест""";;2020-01-10 12:48:03.814657;2020-01-10 12:48:03.814657;286;;5;УКТНИнвест
328;"АО ""ОМЕГА""";;2020-01-10 12:48:03.889549;2020-01-10 12:48:03.889549;286;;5;ОМЕГА
329;"ООО ""Транснефтьэнерго""";;2020-01-10 12:48:04.059276;2020-01-10 12:48:04.059276;286;;5;энерго
330;"АО ""Транснефть Нефтянные Насосы""";;2020-01-10 12:48:07.554345;2020-01-10 12:48:07.554345;286;;5;НефтянныеНасосы
331;ООО «Транснефть-Телеком» ;;2020-01-10 12:48:07.65223;2020-01-10 12:48:07.65223;286;;5;Телеком
332;"ООО ""Транснефть Финанс""";;2020-01-10 12:48:07.678379;2020-01-10 12:48:07.678379;286;;5;Финанс
333;"ООО ""Транснефть-Логистика""";;2020-01-10 12:48:12.201081;2020-01-10 12:48:12.201081;286;;5;Логистика
334;"ООО ""Транснефтьстрой""";;2020-01-10 12:48:12.334093;2020-01-10 12:48:12.334093;286;;5;строй
335;"АО ""Новорослесэкспорт""";;2020-01-10 12:48:14.753182;2020-01-10 12:48:14.753182;286;;5;Новорослесэкспо
336;"АО ""Флот НМТП""";;2020-01-10 12:48:14.994691;2020-01-10 12:48:14.994691;286;;5;ФлотНМТП
337;"ООО ""НМТ""";;2020-01-10 12:48:15.060969;2020-01-10 12:48:15.060969;286;;5;НМТ
338;"ООО ""СФП""";;2020-01-10 12:48:15.214256;2020-01-10 12:48:15.214256;286;;5;СФП
339;"ООО ""БСК""";;2020-01-10 12:48:15.232266;2020-01-10 12:48:15.232266;286;;5;БСК
340;"ООО ""ПТП""";;2020-01-10 12:48:15.291832;2020-01-10 12:48:15.291832;286;;5;ПТП
341;"ООО ""ИПП""";;2020-01-10 12:48:15.310258;2020-01-10 12:48:15.310258;286;;5;ИПП
342;"ПАО ""НМТП""";;2020-01-10 12:48:15.353305;2020-01-10 12:48:15.353305;286;;5;НМТП
